,Score,1-Notch Score,2-Notches Score,AMAE,MAE,MSE
LogisticAT,0.2446172248803828,0.6314593301435407,0.8241626794258374,3.7192318538329863,1.5514354066985647,5.2351674641148325
LogisticIT,0.2528708133971292,0.6319377990430622,0.7929425837320574,3.7272740819090857,1.768062200956938,7.655861244019138
LinearDisc,0.25777511961722493,0.6383971291866029,0.7893540669856459,3.4669717832719917,1.741267942583732,7.875239234449761
"SVC(C=1.0,",0.24533492822966507,0.6187799043062201,0.7721291866028708,5.65665465265176,1.8575358851674637,8.630023923444977
MLPClassif,0.27858851674641144,0.6684210526315789,0.8233253588516746,4.022061011623746,1.523803827751196,5.636244019138756
RandomFore,0.2473684210526316,0.6331339712918661,0.7992822966507178,4.432991185419108,1.6791866028708136,6.64665071770335
GradientBo,0.2545454545454545,0.6247607655502393,0.7891148325358852,4.040936382166283,1.7056220095693782,6.847966507177034
Lin_OVN_FWD,0.15633971291866028,0.38086124401913873,0.46578947368421053,7.829632434600083,4.229066985645933,32.95657894736841
SVC_OVN_FWD,0.24090909090909096,0.6096889952153111,0.7661483253588516,5.751129735780054,1.8895933014354067,8.826674641148326
MLP_OVN_FWD,0.27284688995215306,0.6519138755980862,0.7989234449760765,5.070756397839268,1.6989234449760766,7.440789473684211
Ran_OVN_FWD,0.24928229665071772,0.6221291866028709,0.7827751196172249,5.25786479660894,1.8082535885167466,8.112081339712919
Gra_OVN_FWD,0.22571770334928226,0.5568181818181819,0.7075358851674641,6.035407482751535,2.205382775119617,11.576913875598084
Lin_OVN_BWD,0.009210526315789475,0.02583732057416268,0.03636363636363636,9.080553579627956,11.605143540669857,150.45992822966508
SVC_OVN_BWD,0.0031100478468899517,0.0075358851674641155,0.011602870813397129,9.856279334304553,13.121291866028708,182.58062200956937
MLP_OVN_BWD,0.0034688995215311005,0.010287081339712918,0.015550239234449759,9.271746924844772,12.063995215311003,156.9120813397129
Ran_OVN_BWD,0.001555023923444976,0.0043062200956937805,0.008014354066985648,9.995323665702875,13.302033492822966,187.12093301435408
Gra_OVN_BWD,0.0032296650717703345,0.00813397129186603,0.011842105263157897,9.566495539973358,12.610047846889952,170.63277511961718
Lin_OVF_FWD,0.13696172248803828,0.34904306220095693,0.46650717703349287,3.2374724765602467,4.179186602870813,30.515789473684215
SVC_OVF_FWD,0.002392344497607655,0.0070574162679425834,0.013397129186602871,8.839566106103069,11.870813397129185,149.78803827751193
MLP_OVF_FWD,0.17380382775119618,0.43289473684210533,0.5595693779904307,3.126979270962431,3.594019138755981,25.855023923444975
Ran_OVF_FWD,0.1897129186602871,0.4899521531100478,0.6456937799043062,3.114824858538068,2.81877990430622,17.925956937799043
Gra_OVF_FWD,0.18720095693779906,0.47368421052631576,0.6337320574162679,3.0712583623965775,2.6840909090909086,15.042224880382776
Lin_OVF_BWD,0.2549043062200957,0.6295454545454546,0.77811004784689,3.8494505538695294,1.7846889952153109,7.803349282296651
SVC_OVF_BWD,0.23038277511961724,0.566866028708134,0.7319377990430622,5.899763523151855,2.080980861244019,10.299401913875597
MLP_OVF_BWD,0.26543062200956935,0.632775119617225,0.7782296650717704,5.061525811073648,1.7862440191387559,7.981459330143541
Ran_OVF_BWD,0.2516746411483254,0.6197368421052631,0.7747607655502392,5.326065926535328,1.8387559808612441,8.386602870813398
Gra_OVF_BWD,0.26052631578947366,0.613755980861244,0.7665071770334928,4.592488538659497,1.8714114832535889,8.72858851674641
Lin_OP_FWD,0.2582535885167464,0.634688995215311,0.8132775119617225,3.133980613084122,1.614952153110048,6.141028708133971
SVC_OP_FWD,0.2738038277511962,0.6569377990430622,0.8309808612440192,4.5442580610090015,1.542822966507177,5.810526315789474
MLP_OP_FWD,0.27942583732057413,0.6795454545454545,0.839712918660287,3.5026043017725703,1.411602870813397,4.539832535885167
Ran_OP_FWD,0.26566985645933017,0.6575358851674642,0.837799043062201,3.9415413697466035,1.491866028708134,5.167703349282297
Gra_OP_FWD,0.2642344497607655,0.6648325358851676,0.8388755980861244,3.7514489346341975,1.4751196172248804,5.000478468899522
Lin_OP_BWD,0.2576555023923445,0.6336124401913875,0.8129186602870814,3.1457650605472747,1.620215311004785,6.191746411483253
SVC_OP_BWD,0.2738038277511962,0.6569377990430622,0.8308612440191387,4.5449957184133245,1.543421052631579,5.815909090909091
MLP_OP_BWD,0.2870813397129187,0.6816985645933015,0.839354066985646,3.5372707430428703,1.4099282296650717,4.615430622009569
Ran_OP_BWD,0.26160287081339717,0.6522727272727273,0.8336124401913876,3.775927389947146,1.4928229665071773,5.036124401913876
Gra_OP_BWD,0.262799043062201,0.65933014354067,0.8302631578947368,3.6367242673494973,1.5462918660287084,5.795574162679425
